conference,division,name,shortName,mascot,stadiumId,code
NEC,,St. Francis University,St. Francis (PA),Red Flash,,ST-FRA
NEC,,Sacred Heart University,Sacred Heart,Pioneers,,SAC-HRT
NEC,,Bryant University,Bryant,Bulldogs,,BRYANT
NEC,,Long Island University,Long Island,Sharks,,LIU
OVC,,University of Tennessee - Martin,UT Martin,Skyhawks,,UT-MART
OVC,,Austin Peay University,Austin Peay,Governors,,AU-PEAY
OVC,,Jacksonville State University,Jacksonville State,Gamecocks,,JVLLE-ST
OVC,,Murray State University,Murray State,Racers,,MU-ST
OVC,,University of Eastern Kentucky,Eastern Kentucky,Colonels,,EST-KY
OVC,,Southern Missouri State University,Southern Missouri State,Redhawks,,SO-MO-ST
OVC,,Tennessee Technical Institute (?),Tennessee Tech,Golden Eagles,,TN-TEK
OVC,,Tennessee State University,Tennessee State,Tigers,,TN-ST
OVC,,University of Eastern Illinois,Eastern Illinois,Panthers,,EST-IL
PAT,,Holy Cross University,Holy Cross,Crusaders,,HO-CRS
PAT,,Fordham University,Fordham,Rams,,FORDHAM
PAT,,Lehigh University,Lehigh,Mountain Hawks,,LEHI
PAT,,Bucknell University,Bucknell,Bison,,BKNELL
PAT,,Lafayette University,Lafayette,Leopards,,LAFAY
PAT,,Georgetown University,Georgetown,Hoyas,,GRGTWN
PAT,,Colgate College,Colgate,Raiders,,COLGATE
PFL,,Drake University,Drake,Bulldogs,,DRAKE
PFL,,Dayton University,Dayton,Flyers,,DYTN
PFL,,University of San Diego,San Diego,Toreros,,SANDIEGO
PFL,,Davidson University,Davidson,Wildcats,,DVDSN
PFL,,Stetson University,Stetson,Hatters,,STSN
PFL,,Morehead State University,Morehead State,Eagles,,MOREHEAD
PFL,,Marist University,Marist,Red Foxes,,MARIST
PFL,,Jacksonville University,Jacksonville,Dolphins,,JVILLE
PFL,,Butler University,Butler,Bulldogs,,BTLR
PFL,,Valparaiso State University,Valparaiso,Crusaders,,VALP
SOCON,,Furman University,Furman,Paladins,,FURMAN
SOCON,,University of Tennessee - Chattanooga,Chattanooga,Mocs,,UT-CHAT
SOCON,,Virginia Military Institute,VMI,Keydets,,VMI
SOCON,,Wofford University,Wofford,Terriers,,WOFF
SOCON,,Samford University,Samford,Bulldogs,,SAMF
SOCON,,The Citadel,The Citadel,Bulldogs,,EL-CID
