G,Date,Time,Day,School,LocType,Opponent,Conf,,Pts,Opp,W,L,Streak,TV,Notes
2,Sep 7 2019,12:00 PM,Sat,(21) Syracuse,@,Maryland,Big Ten,L,20,63,1,1,L 1,,
3,Sep 14 2019,7:30 PM,Sat,Syracuse,,(1) Clemson,ACC,L,6,41,1,2,L 2,,
4,Sep 21 2019,12:00 PM,Sat,Syracuse,,Western Michigan,MAC,W,52,33,2,2,W 1,,
5,Sep 28 2019,12:00 PM,Sat,Syracuse,,Holy Cross,Non-Major,W,41,3,3,2,W 2,,
6,Oct 10 2019,8:00 PM,Thu,Syracuse,@,North Carolina State,ACC,L,10,16,3,3,L 1,,
7,Oct 18 2019,7:00 PM,Fri,Syracuse,,Pitt,ACC,L,20,27,3,4,L 2,,
8,Oct 26 2019,3:30 PM,Sat,Syracuse,@,Florida State,ACC,,,,,,,,
9,Nov 2 2019,12:00 PM,Sat,Syracuse,,Boston College,ACC,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Syracuse,@,Duke,ACC,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Syracuse,@,Louisville,ACC,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Syracuse,,(25) Wake Forest,ACC,,,,,,,,
1,Aug 31 2019,7:30 PM,Sat,Virginia,@,Pitt,ACC,W,30,14,1,0,W 1,,
2,Sep 6 2019,8:00 PM,Fri,Virginia,,William & Mary,Non-Major,W,52,17,2,0,W 2,,
3,Sep 14 2019,7:30 PM,Sat,(25) Virginia,,Florida State,ACC,W,31,24,3,0,W 3,,
4,Sep 21 2019,7:00 PM,Sat,(21) Virginia,,Old Dominion,CUSA,W,28,17,4,0,W 4,,
5,Sep 28 2019,3:30 PM,Sat,(18) Virginia,@,(10) Notre Dame,Ind,L,20,35,4,1,L 1,,
6,Oct 11 2019,8:00 PM,Fri,(20) Virginia,@,Miami (FL),ACC,L,9,17,4,2,L 2,,
7,Oct 19 2019,3:30 PM,Sat,Virginia,,Duke,ACC,W,48,14,5,2,W 1,,
8,Oct 26 2019,3:30 PM,Sat,Virginia,@,Louisville,ACC,,,,,,,,
9,Nov 2 2019,7:30 PM,Sat,Virginia,@,North Carolina,ACC,,,,,,,,
10,Nov 9 2019,12:00 PM,Sat,Virginia,,Georgia Tech,ACC,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Virginia,,Liberty,Ind,,,,,,,,
12,Nov 29 2019,12:00 PM,Fri,Virginia,,Virginia Tech,ACC,,,,,,,,
1,Aug 31 2019,7:30 PM,Sat,Pitt,,Virginia,ACC,L,14,30,0,1,L 1,,
2,Sep 7 2019,11:00 AM,Sat,Pitt,,Ohio,MAC,W,20,10,1,1,W 1,,
3,Sep 14 2019,12:00 PM,Sat,Pitt,@,(13) Penn State,Big Ten,L,10,17,1,2,L 1,,
4,Sep 21 2019,3:30 PM,Sat,Pitt,,(15) UCF,American,W,35,34,2,2,W 1,,
5,Sep 28 2019,12:30 PM,Sat,Pitt,,Delaware,Non-Major,W,17,14,3,2,W 2,,
6,Oct 5 2019,8:00 PM,Sat,Pitt,@,Duke,ACC,W,33,30,4,2,W 3,,
7,Oct 18 2019,7:00 PM,Fri,Pitt,@,Syracuse,ACC,W,27,20,5,2,W 4,,
8,Oct 26 2019,12:00 PM,Sat,Pitt,,Miami (FL),ACC,,,,,,,,
9,Nov 2 2019,4:00 PM,Sat,Pitt,@,Georgia Tech,ACC,,,,,,,,
10,Nov 14 2019,8:00 PM,Thu,Pitt,,North Carolina,ACC,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Pitt,@,Virginia Tech,ACC,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Pitt,,Boston College,ACC,,,,,,,,
1,Aug 31 2019,4:00 PM,Sat,Virginia Tech,@,Boston College,ACC,L,28,35,0,1,L 1,,
2,Sep 7 2019,12:00 PM,Sat,Virginia Tech,,Old Dominion,CUSA,W,31,17,1,1,W 1,,
3,Sep 14 2019,12:00 PM,Sat,Virginia Tech,,Furman,Non-Major,W,24,17,2,1,W 2,,
4,Sep 27 2019,7:00 PM,Fri,Virginia Tech,,Duke,ACC,L,10,45,2,2,L 1,,
5,Oct 5 2019,3:30 PM,Sat,Virginia Tech,@,Miami (FL),ACC,W,42,35,3,2,W 1,,
6,Oct 12 2019,4:00 PM,Sat,Virginia Tech,,Rhode Island,Non-Major,W,34,17,4,2,W 2,,
7,Oct 19 2019,3:30 PM,Sat,Virginia Tech,,North Carolina,ACC,W,43,41,5,2,W 3,,
8,Nov 2 2019,2:30 PM,Sat,Virginia Tech,@,(8) Notre Dame,Ind,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,Virginia Tech,,(25) Wake Forest,ACC,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Virginia Tech,@,Georgia Tech,ACC,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Virginia Tech,,Pitt,ACC,,,,,,,,
12,Nov 29 2019,12:00 PM,Fri,Virginia Tech,@,Virginia,ACC,,,,,,,,
1,Aug 31 2019,12:00 PM,Sat,Duke,N,(2) Alabama,SEC,L,3,42,0,1,L 1,,
2,Sep 7 2019,6:00 PM,Sat,Duke,,North Carolina A&T,Non-Major,W,45,13,1,1,W 1,,
3,Sep 14 2019,7:00 PM,Sat,Duke,@,Middle Tennessee State,CUSA,W,41,18,2,1,W 2,,
4,Sep 27 2019,7:00 PM,Fri,Duke,@,Virginia Tech,ACC,W,45,10,3,1,W 3,,
5,Oct 5 2019,8:00 PM,Sat,Duke,,Pitt,ACC,L,30,33,3,2,L 1,,
6,Oct 12 2019,12:30 PM,Sat,Duke,,Georgia Tech,ACC,W,41,23,4,2,W 1,,
7,Oct 19 2019,3:30 PM,Sat,Duke,@,Virginia,ACC,L,14,48,4,3,L 1,,
8,Oct 26 2019,4:00 PM,Sat,Duke,@,North Carolina,ACC,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,Duke,,(8) Notre Dame,Ind,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Duke,,Syracuse,ACC,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Duke,@,(25) Wake Forest,ACC,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Duke,,Miami (FL),ACC,,,,,,,,
1,Aug 31 2019,3:30 PM,Sat,North Carolina,N,South Carolina,SEC,W,24,20,1,0,W 1,,
2,Sep 7 2019,8:00 PM,Sat,North Carolina,,Miami (FL),ACC,W,28,25,2,0,W 2,,
3,Sep 13 2019,6:00 PM,Fri,North Carolina,@,Wake Forest,ACC,L,18,24,2,1,L 1,,
4,Sep 21 2019,3:30 PM,Sat,North Carolina,,Appalachian State,Sun Belt,L,31,34,2,2,L 2,,
5,Sep 28 2019,3:30 PM,Sat,North Carolina,,(1) Clemson,ACC,L,20,21,2,3,L 3,,
6,Oct 5 2019,4:00 PM,Sat,North Carolina,@,Georgia Tech,ACC,W,38,22,3,3,W 1,,
7,Oct 19 2019,3:30 PM,Sat,North Carolina,@,Virginia Tech,ACC,L,41,43,3,4,L 1,,
8,Oct 26 2019,4:00 PM,Sat,North Carolina,,Duke,ACC,,,,,,,,
9,Nov 2 2019,7:30 PM,Sat,North Carolina,,Virginia,ACC,,,,,,,,
10,Nov 14 2019,8:00 PM,Thu,North Carolina,@,Pitt,ACC,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,North Carolina,,Mercer,Non-Major,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,North Carolina,@,North Carolina State,ACC,,,,,,,,
1,Aug 24 2019,6:00 PM,Sat,Miami (FL),N,(8) Florida,SEC,L,20,24,0,1,L 1,,
2,Sep 7 2019,8:00 PM,Sat,Miami (FL),@,North Carolina,ACC,L,25,28,0,2,L 2,,
3,Sep 14 2019,4:00 PM,Sat,Miami (FL),,Bethune-Cookman,Non-Major,W,63,0,1,2,W 1,,
4,Sep 21 2019,4:00 PM,Sat,Miami (FL),,Central Michigan,MAC,W,17,12,2,2,W 2,,
5,Oct 5 2019,3:30 PM,Sat,Miami (FL),,Virginia Tech,ACC,L,35,42,2,3,L 1,,
6,Oct 11 2019,8:00 PM,Fri,Miami (FL),,(20) Virginia,ACC,W,17,9,3,3,W 1,,
7,Oct 19 2019,12:00 PM,Sat,Miami (FL),,Georgia Tech,ACC,L,21,28,3,4,L 1,,
8,Oct 26 2019,12:00 PM,Sat,Miami (FL),@,Pitt,ACC,,,,,,,,
9,Nov 2 2019,1:00 PM,Sat,Miami (FL),@,Florida State,ACC,,,,,,,,
10,Nov 9 2019,12:00 PM,Sat,Miami (FL),,Louisville,ACC,,,,,,,,
11,Nov 23 2019,7:00 PM,Sat,Miami (FL),@,Florida International,CUSA,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Miami (FL),@,Duke,ACC,,,,,,,,
1,Aug 29 2019,8:00 PM,Thu,Georgia Tech,@,(1) Clemson,ACC,L,14,52,0,1,L 1,,
2,Sep 7 2019,2:00 PM,Sat,Georgia Tech,,South Florida,American,W,14,10,1,1,W 1,,
3,Sep 14 2019,12:30 PM,Sat,Georgia Tech,,Citadel,Non-Major,L,24,27,1,2,L 1,,
4,Sep 28 2019,3:30 PM,Sat,Georgia Tech,@,Temple,American,L,2,24,1,3,L 2,,
