G,Date,Time,Day,School,LocType,Opponent,Conf,,Pts,Opp,W,L,Streak,TV,Notes
5,Oct 5 2019,6:00 PM,Sat,Old Dominion,,Western Kentucky,CUSA,L,3,20,1,4,L 4,,
6,Oct 12 2019,2:30 PM,Sat,Old Dominion,@,Marshall,CUSA,L,17,31,1,5,L 5,,
7,Oct 19 2019,4:00 PM,Sat,Old Dominion,@,UAB,CUSA,L,14,38,1,6,L 6,,
8,Oct 26 2019,3:30 PM,Sat,Old Dominion,,Florida Atlantic,CUSA,,,,,,,,
9,Nov 2 2019,12:00 PM,Sat,Old Dominion,@,Florida International,CUSA,,,,,,,,
10,Nov 9 2019,2:00 PM,Sat,Old Dominion,,UTSA,CUSA,,,,,,,,
11,Nov 23 2019,4:30 PM,Sat,Old Dominion,@,Middle Tennessee State,CUSA,,,,,,,,
12,Nov 30 2019,2:00 PM,Sat,Old Dominion,,Charlotte,CUSA,,,,,,,,
1,Aug 31 2019,8:00 PM,Sat,Louisiana Tech,@,(10) Texas,Big 12,L,14,45,0,1,L 1,,
2,Sep 7 2019,3:30 PM,Sat,Louisiana Tech,,Grambling State,Non-Major,W,20,14,1,1,W 1,,
3,Sep 14 2019,5:00 PM,Sat,Louisiana Tech,@,Bowling Green State,MAC,W,35,7,2,1,W 2,,
4,Sep 20 2019,8:00 PM,Fri,Louisiana Tech,,Florida International,CUSA,W,43,31,3,1,W 3,,
5,Sep 28 2019,7:00 PM,Sat,Louisiana Tech,@,Rice,CUSA,W,23,20,4,1,W 4,,
6,Oct 12 2019,7:00 PM,Sat,Louisiana Tech,,Massachusetts,Ind,W,69,21,5,1,W 5,,
7,Oct 19 2019,3:30 PM,Sat,Louisiana Tech,,Southern Mississippi,CUSA,W,45,30,6,1,W 6,,
8,Oct 26 2019,8:00 PM,Sat,Louisiana Tech,@,UTEP,CUSA,,,,,,,,
9,Nov 9 2019,4:00 PM,Sat,Louisiana Tech,,North Texas,CUSA,,,,,,,,
10,Nov 15 2019,,Fri,Louisiana Tech,@,Marshall,CUSA,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Louisiana Tech,@,UAB,CUSA,,,,,,,,
12,Nov 30 2019,3:30 PM,Sat,Louisiana Tech,,UTSA,CUSA,,,,,,,,
1,Aug 29 2019,8:00 PM,Thu,UAB,,Alabama State,Non-Major,W,24,19,1,0,W 1,,
2,Sep 7 2019,12:00 PM,Sat,UAB,@,Akron,MAC,W,31,20,2,0,W 2,,
3,Sep 21 2019,3:30 PM,Sat,UAB,,South Alabama,Sun Belt,W,35,3,3,0,W 3,,
4,Sep 28 2019,7:00 PM,Sat,UAB,@,Western Kentucky,CUSA,L,13,20,3,1,L 1,,
5,Oct 5 2019,7:00 PM,Sat,UAB,,Rice,CUSA,W,35,20,4,1,W 1,,
6,Oct 12 2019,6:00 PM,Sat,UAB,@,UTSA,CUSA,W,33,14,5,1,W 2,,
7,Oct 19 2019,4:00 PM,Sat,UAB,,Old Dominion,CUSA,W,38,14,6,1,W 3,,
8,Nov 2 2019,7:00 PM,Sat,UAB,@,Tennessee,SEC,,,,,,,,
9,Nov 9 2019,3:30 PM,Sat,UAB,@,Southern Mississippi,CUSA,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,UAB,,UTEP,CUSA,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,UAB,,Louisiana Tech,CUSA,,,,,,,,
12,Nov 30 2019,4:00 PM,Sat,UAB,@,North Texas,CUSA,,,,,,,,
1,Aug 31 2019,7:00 PM,Sat,Southern Mississippi,,Alcorn State,Non-Major,W,38,10,1,0,W 1,,
2,Sep 7 2019,3:30 PM,Sat,Southern Mississippi,@,Mississippi State,SEC,L,15,38,1,1,L 1,,
3,Sep 14 2019,6:00 PM,Sat,Southern Mississippi,@,Troy,Sun Belt,W,47,42,2,1,W 1,,
4,Sep 21 2019,12:00 PM,Sat,Southern Mississippi,@,(2) Alabama,SEC,L,7,49,2,2,L 1,,
5,Sep 28 2019,7:00 PM,Sat,Southern Mississippi,,UTEP,CUSA,W,31,13,3,2,W 1,,
6,Oct 12 2019,7:00 PM,Sat,Southern Mississippi,,North Texas,CUSA,W,45,27,4,2,W 2,,
7,Oct 19 2019,3:30 PM,Sat,Southern Mississippi,@,Louisiana Tech,CUSA,L,30,45,4,3,L 1,,
8,Oct 26 2019,1:00 PM,Sat,Southern Mississippi,@,Rice,CUSA,,,,,,,,
9,Nov 9 2019,3:30 PM,Sat,Southern Mississippi,,UAB,CUSA,,,,,,,,
10,Nov 16 2019,6:00 PM,Sat,Southern Mississippi,@,UTSA,CUSA,,,,,,,,
11,Nov 23 2019,3:30 PM,Sat,Southern Mississippi,,Western Kentucky,CUSA,,,,,,,,
12,Nov 30 2019,3:30 PM,Sat,Southern Mississippi,@,Florida Atlantic,CUSA,,,,,,,,
1,Aug 31 2019,7:30 PM,Sat,North Texas,,Abilene Christian,Non-Major,W,51,31,1,0,W 1,,
2,Sep 7 2019,7:00 PM,Sat,North Texas,@,SMU,American,L,27,49,1,1,L 1,,
3,Sep 14 2019,4:15 PM,Sat,North Texas,@,California,Pac-12,L,17,23,1,2,L 2,,
4,Sep 21 2019,7:30 PM,Sat,North Texas,,UTSA,CUSA,W,45,3,2,2,W 1,,
5,Sep 28 2019,8:00 PM,Sat,North Texas,,Houston,American,L,25,46,2,3,L 1,,
6,Oct 12 2019,7:00 PM,Sat,North Texas,@,Southern Mississippi,CUSA,L,27,45,2,4,L 2,,
7,Oct 19 2019,4:00 PM,Sat,North Texas,,Middle Tennessee State,CUSA,W,33,30,3,4,W 1,,
8,Oct 26 2019,3:30 PM,Sat,North Texas,@,Charlotte,CUSA,,,,,,,,
9,Nov 2 2019,3:30 PM,Sat,North Texas,,UTEP,CUSA,,,,,,,,
10,Nov 9 2019,4:00 PM,Sat,North Texas,@,Louisiana Tech,CUSA,,,,,,,,
11,Nov 23 2019,3:30 PM,Sat,North Texas,@,Rice,CUSA,,,,,,,,
12,Nov 30 2019,4:00 PM,Sat,North Texas,,UAB,CUSA,,,,,,,,
1,Aug 31 2019,6:00 PM,Sat,UTSA,,Incarnate Word,Non-Major,W,35,7,1,0,W 1,,
2,Sep 7 2019,4:00 PM,Sat,UTSA,@,Baylor,Big 12,L,14,63,1,1,L 1,,
3,Sep 14 2019,3:30 PM,Sat,UTSA,,Army,Ind,L,13,31,1,2,L 2,,
4,Sep 21 2019,7:30 PM,Sat,UTSA,@,North Texas,CUSA,L,3,45,1,3,L 3,,
5,Oct 5 2019,8:00 PM,Sat,UTSA,@,UTEP,CUSA,W,26,16,2,3,W 1,,
6,Oct 12 2019,6:00 PM,Sat,UTSA,,UAB,CUSA,L,14,33,2,4,L 1,,
7,Oct 19 2019,6:00 PM,Sat,UTSA,,Rice,CUSA,W,31,27,3,4,W 1,,
8,Nov 2 2019,12:00 PM,Sat,UTSA,@,Texas A&M,SEC,,,,,,,,
9,Nov 9 2019,2:00 PM,Sat,UTSA,@,Old Dominion,CUSA,,,,,,,,
10,Nov 16 2019,6:00 PM,Sat,UTSA,,Southern Mississippi,CUSA,,,,,,,,
11,Nov 23 2019,6:00 PM,Sat,UTSA,,Florida Atlantic,CUSA,,,,,,,,
12,Nov 30 2019,3:30 PM,Sat,UTSA,@,Louisiana Tech,CUSA,,,,,,,,
1,Aug 31 2019,8:00 PM,Sat,UTEP,,Houston Baptist,Non-Major,W,36,34,1,0,W 1,,
2,Sep 7 2019,8:00 PM,Sat,UTEP,@,Texas Tech,Big 12,L,3,38,1,1,L 1,,
3,Sep 21 2019,8:00 PM,Sat,UTEP,,Nevada,MWC,L,21,37,1,2,L 2,,
4,Sep 28 2019,7:00 PM,Sat,UTEP,@,Southern Mississippi,CUSA,L,13,31,1,3,L 3,,
5,Oct 5 2019,8:00 PM,Sat,UTEP,,UTSA,CUSA,L,16,26,1,4,L 4,,
6,Oct 19 2019,7:00 PM,Sat,UTEP,@,Florida International,CUSA,L,17,32,1,5,L 5,,
7,Oct 26 2019,8:00 PM,Sat,UTEP,,Louisiana Tech,CUSA,,,,,,,,
8,Nov 2 2019,3:30 PM,Sat,UTEP,@,North Texas,CUSA,,,,,,,,
9,Nov 9 2019,3:00 PM,Sat,UTEP,,Charlotte,CUSA,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,UTEP,@,UAB,CUSA,,,,,,,,
11,Nov 23 2019,4:00 PM,Sat,UTEP,@,New Mexico State,Ind,,,,,,,,
12,Nov 30 2019,3:00 PM,Sat,UTEP,,Rice,CUSA,,,,,,,,
1,Aug 30 2019,6:00 PM,Fri,Rice,@,Army,Ind,L,7,14,0,1,L 1,,
2,Sep 6 2019,8:00 PM,Fri,Rice,,Wake Forest,ACC,L,21,41,0,2,L 2,,
3,Sep 14 2019,8:00 PM,Sat,Rice,N,(12) Texas,Big 12,L,13,48,0,3,L 3,,
4,Sep 21 2019,7:00 PM,Sat,Rice,,Baylor,Big 12,L,13,21,0,4,L 4,,
5,Sep 28 2019,7:00 PM,Sat,Rice,,Louisiana Tech,CUSA,L,20,23,0,5,L 5,,
6,Oct 5 2019,7:00 PM,Sat,Rice,@,UAB,CUSA,L,20,35,0,6,L 6,,
7,Oct 19 2019,6:00 PM,Sat,Rice,@,UTSA,CUSA,L,27,31,0,7,L 7,,
8,Oct 26 2019,1:00 PM,Sat,Rice,,Southern Mississippi,CUSA,,,,,,,,
9,Nov 2 2019,3:30 PM,Sat,Rice,,Marshall,CUSA,,,,,,,,
10,Nov 16 2019,4:30 PM,Sat,Rice,@,Middle Tennessee State,CUSA,,,,,,,,
11,Nov 23 2019,3:30 PM,Sat,Rice,,North Texas,CUSA,,,,,,,,
12,Nov 30 2019,3:00 PM,Sat,Rice,@,UTEP,CUSA,,,,,,,,
1,Aug 31 2019,6:00 PM,Sat,Liberty,,(22) Syracuse,ACC,L,0,24,0,1,L 1,,
2,Sep 7 2019,7:30 PM,Sat,Liberty,@,Louisiana,Sun Belt,L,14,35,0,2,L 2,,
3,Sep 14 2019,6:00 PM,Sat,Liberty,,Buffalo,MAC,W,35,17,1,2,W 1,,
4,Sep 21 2019,6:00 PM,Sat,Liberty,,Hampton,Non-Major,W,62,27,2,2,W 2,,
5,Sep 28 2019,6:00 PM,Sat,Liberty,,New Mexico,MWC,W,17,10,3,2,W 3,,
6,Oct 5 2019,8:00 PM,Sat,Liberty,@,New Mexico State,Ind,W,20,13,4,2,W 4,,
7,Oct 19 2019,6:00 PM,Sat,Liberty,,Maine,Non-Major,W,59,44,5,2,W 5,,
8,Oct 26 2019,12:00 PM,Sat,Liberty,@,Rutgers,Big Ten,,,,,,,,
9,Nov 2 2019,12:00 PM,Sat,Liberty,@,Massachusetts,Ind,,,,,,,,
10,Nov 9 2019,12:00 PM,Sat,Liberty,@,Brigham Young,Ind,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Liberty,@,Virginia,ACC,,,,,,,,
12,Nov 30 2019,2:00 PM,Sat,Liberty,,New Mexico State,Ind,,,,,,,,
1,Aug 31 2019,10:00 PM,Sat,New Mexico State,@,(23) Washington State,Pac-12,L,7,58,0,1,L 1,,
2,Sep 7 2019,4:00 PM,Sat,New Mexico State,@,(2) Alabama,SEC,L,10,62,0,2,L 2,,
3,Sep 14 2019,8:00 PM,Sat,New Mexico State,,San Diego State,MWC,L,10,31,0,3,L 3,,
4,Sep 21 2019,4:30 PM,Sat,New Mexico State,@,New Mexico,MWC,L,52,55,0,4,L 4,,
5,Sep 28 2019,8:00 PM,Sat,New Mexico State,,Fresno State,MWC,L,17,30,0,5,L 5,,
6,Oct 5 2019,8:00 PM,Sat,New Mexico State,,Liberty,Ind,L,13,20,0,6,L 6,,
7,Oct 12 2019,3:00 PM,Sat,New Mexico State,@,Central Michigan,MAC,L,28,42,0,7,L 7,,
8,Oct 26 2019,3:00 PM,Sat,New Mexico State,@,Georgia Southern,Sun Belt,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,New Mexico State,@,Ole Miss,SEC,,,,,,,,
10,Nov 16 2019,4:00 PM,Sat,New Mexico State,,Incarnate Word,Non-Major,,,,,,,,
11,Nov 23 2019,4:00 PM,Sat,New Mexico State,,UTEP,CUSA,,,,,,,,
12,Nov 30 2019,2:00 PM,Sat,New Mexico State,@,Liberty,Ind,,,,,,,,
1,Aug 30 2019,7:15 PM,Fri,Massachusetts,@,Rutgers,Big Ten,L,21,48,0,1,L 1,,
2,Sep 7 2019,3:30 PM,Sat,Massachusetts,,Southern Illinois,Non-Major,L,20,45,0,2,L 2,,
3,Sep 14 2019,6:00 PM,Sat,Massachusetts,@,Charlotte,CUSA,L,17,52,0,3,L 3,,
4,Sep 21 2019,1:00 PM,Sat,Massachusetts,,Coastal Carolina,Sun Belt,L,28,62,0,4,L 4,,
5,Sep 28 2019,3:30 PM,Sat,Massachusetts,,Akron,MAC,W,37,29,1,4,W 1,,
6,Oct 5 2019,7:00 PM,Sat,Massachusetts,@,Florida International,CUSA,L,0,44,1,5,L 1,,
7,Oct 12 2019,7:00 PM,Sat,Massachusetts,@,Louisiana Tech,CUSA,L,21,69,1,6,L 2,,
8,Oct 26 2019,3:30 PM,Sat,Massachusetts,,Connecticut,American,,,,,,,,
9,Nov 2 2019,12:00 PM,Sat,Massachusetts,,Liberty,Ind,,,,,,,,
10,Nov 9 2019,12:00 PM,Sat,Massachusetts,@,Army,Ind,,,,,,,,
11,Nov 16 2019,12:00 PM,Sat,Massachusetts,@,Northwestern,Big Ten,,,,,,,,
12,Nov 23 2019,12:00 PM,Sat,Massachusetts,,Brigham Young,Ind,,,,,,,,
1,Sep 2 2019,8:00 PM,Mon,(9) Notre Dame,@,Louisville,ACC,W,35,17,1,0,W 1,,
2,Sep 14 2019,2:30 PM,Sat,(7) Notre Dame,,New Mexico,MWC,W,66,14,2,0,W 2,,
3,Sep 21 2019,8:00 PM,Sat,(7) Notre Dame,@,(3) Georgia,SEC,L,17,23,2,1,L 1,,
4,Sep 28 2019,3:30 PM,Sat,(10) Notre Dame,,(18) Virginia,ACC,W,35,20,3,1,W 1,,
5,Oct 5 2019,3:30 PM,Sat,(9) Notre Dame,,Bowling Green State,MAC,W,52,0,4,1,W 2,,
6,Oct 12 2019,7:30 PM,Sat,(9) Notre Dame,,USC,Pac-12,W,30,27,5,1,W 3,,
7,Oct 26 2019,7:30 PM,Sat,(8) Notre Dame,@,(19) Michigan,Big Ten,,,,,,,,
8,Nov 2 2019,2:30 PM,Sat,(8) Notre Dame,,Virginia Tech,ACC,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,(8) Notre Dame,@,Duke,ACC,,,,,,,,
10,Nov 16 2019,2:30 PM,Sat,(8) Notre Dame,,Navy,American,,,,,,,,
11,Nov 23 2019,2:30 PM,Sat,(8) Notre Dame,,Boston College,ACC,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,(8) Notre Dame,@,Stanford,Pac-12,,,,,,,,
1,Aug 30 2019,6:00 PM,Fri,Army,,Rice,CUSA,W,14,7,1,0,W 1,,
2,Sep 7 2019,12:00 PM,Sat,Army,@,(7) Michigan,Big Ten,L,21,24,1,1,L 1,,
3,Sep 14 2019,3:30 PM,Sat,Army,@,UTSA,CUSA,W,31,13,2,1,W 1,,
4,Sep 21 2019,12:00 PM,Sat,Army,,Morgan State,Non-Major,W,52,21,3,1,W 2,,
5,Oct 5 2019,12:00 PM,Sat,Army,,Tulane,American,L,33,42,3,2,L 1,,
6,Oct 12 2019,7:00 PM,Sat,Army,@,Western Kentucky,CUSA,L,8,17,3,3,L 2,,
7,Oct 19 2019,7:00 PM,Sat,Army,@,Georgia State,Sun Belt,L,21,28,3,4,L 3,,
8,Oct 26 2019,12:00 PM,Sat,Army,,San Jose State,MWC,,,,,,,,
9,Nov 2 2019,3:30 PM,Sat,Army,@,Air Force,MWC,,,,,,,,
10,Nov 9 2019,12:00 PM,Sat,Army,,Massachusetts,Ind,,,,,,,,
11,Nov 16 2019,12:00 PM,Sat,Army,,Virginia Military Institute,Non-Major,,,,,,,,
12,Nov 30 2019,11:59 PM,Sat,Army,@,Hawaii,MWC,,,,,,,,
13,Dec 14 2019,3:00 PM,Sat,Army,N,Navy,American,,,,,,,,Lincoln Financial Field - Philadelphia Pennsylvania
1,Aug 29 2019,10:15 PM,Thu,Brigham Young,,(14) Utah,Pac-12,L,12,30,0,1,L 1,,
2,Sep 7 2019,7:00 PM,Sat,Brigham Young,@,Tennessee,SEC,W,29,26,1,1,W 1,,
3,Sep 14 2019,3:30 PM,Sat,Brigham Young,,(24) USC,Pac-12,W,30,27,2,1,W 2,,
4,Sep 21 2019,3:30 PM,Sat,Brigham Young,,(22) Washington,Pac-12,L,19,45,2,2,L 1,,
5,Sep 28 2019,12:00 PM,Sat,Brigham Young,@,Toledo,MAC,L,21,28,2,3,L 2,,
6,Oct 12 2019,3:30 PM,Sat,Brigham Young,@,South Florida,American,L,23,27,2,4,L 3,,
7,Oct 19 2019,10:15 PM,Sat,Brigham Young,,(14) Boise State,MWC,W,28,25,3,4,W 1,,
8,Nov 2 2019,10:00 PM,Sat,Brigham Young,@,Utah State,MWC,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,Brigham Young,,Liberty,Ind,,,,,,,,
10,Nov 16 2019,3:00 PM,Sat,Brigham Young,,Idaho State,Non-Major,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Brigham Young,@,Massachusetts,Ind,,,,,,,,
12,Nov 30 2019,9:00 PM,Sat,Brigham Young,@,San Diego State,MWC,,,,,,,,
1,Aug 29 2019,10:00 PM,Thu,Kent State,@,Arizona State,Pac-12,L,7,30,0,1,L 1,,
2,Sep 7 2019,12:00 PM,Sat,Kent State,,Kennesaw State,Non-Major,W,26,23,1,1,W 1,,
3,Sep 14 2019,7:00 PM,Sat,Kent State,@,(8) Auburn,SEC,L,16,55,1,2,L 1,,
4,Sep 21 2019,3:30 PM,Sat,Kent State,,Bowling Green State,MAC,W,62,20,2,2,W 1,,
5,Oct 5 2019,12:00 PM,Sat,Kent State,@,(8) Wisconsin,Big Ten,L,0,48,2,3,L 1,,
6,Oct 12 2019,3:30 PM,Sat,Kent State,@,Akron,MAC,W,26,3,3,3,W 1,,
7,Oct 19 2019,12:00 PM,Sat,Kent State,@,Ohio,MAC,L,38,45,3,4,L 1,,
8,Oct 26 2019,3:30 PM,Sat,Kent State,,Miami (OH),MAC,,,,,,,,
9,Nov 5 2019,12:00 PM,Tue,Kent State,@,Toledo,MAC,,,,,,,,
10,Nov 14 2019,7:00 PM,Thu,Kent State,,Buffalo,MAC,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Kent State,,Ball State,MAC,,,,,,,,
12,Nov 29 2019,12:00 PM,Fri,Kent State,@,Eastern Michigan,MAC,,,,,,,,
1,Aug 31 2019,7:30 PM,Sat,Miami (OH),@,(20) Iowa,Big Ten,L,14,38,0,1,L 1,,
2,Sep 7 2019,2:30 PM,Sat,Miami (OH),,Tennessee Tech,Non-Major,W,48,17,1,1,W 1,,
3,Sep 14 2019,12:00 PM,Sat,Miami (OH),@,Cincinnati,American,L,13,35,1,2,L 1,,
4,Sep 21 2019,3:30 PM,Sat,Miami (OH),@,(6) Ohio State,Big Ten,L,5,76,1,3,L 2,,
5,Sep 28 2019,12:00 PM,Sat,Miami (OH),,Buffalo,MAC,W,34,20,2,3,W 1,,
6,Oct 12 2019,12:00 PM,Sat,Miami (OH),@,Western Michigan,MAC,L,16,38,2,4,L 1,,
7,Oct 19 2019,2:30 PM,Sat,Miami (OH),,Northern Illinois,MAC,W,27,24,3,4,W 1,,
8,Oct 26 2019,3:30 PM,Sat,Miami (OH),@,Kent State,MAC,,,,,,,,
9,Nov 6 2019,8:00 PM,Wed,Miami (OH),@,Ohio,MAC,,,,,,,,
10,Nov 13 2019,8:00 PM,Wed,Miami (OH),,Bowling Green State,MAC,,,,,,,,
11,Nov 20 2019,7:30 PM,Wed,Miami (OH),,Akron,MAC,,,,,,,,
12,Nov 29 2019,12:00 PM,Fri,Miami (OH),@,Ball State,MAC,,,,,,,,
1,Aug 31 2019,2:00 PM,Sat,Ohio,,Rhode Island,Non-Major,W,41,20,1,0,W 1,,
2,Sep 7 2019,11:00 AM,Sat,Ohio,@,Pitt,ACC,L,10,20,1,1,L 1,,
3,Sep 14 2019,6:30 PM,Sat,Ohio,@,Marshall,CUSA,L,31,33,1,2,L 2,,
4,Sep 21 2019,2:00 PM,Sat,Ohio,,Louisiana,Sun Belt,L,25,45,1,3,L 3,,
5,Oct 5 2019,3:30 PM,Sat,Ohio,@,Buffalo,MAC,W,21,20,2,3,W 1,,
6,Oct 12 2019,3:30 PM,Sat,Ohio,,Northern Illinois,MAC,L,36,39,2,4,L 1,,
7,Oct 19 2019,12:00 PM,Sat,Ohio,,Kent State,MAC,W,45,38,3,4,W 1,,
8,Oct 26 2019,2:00 PM,Sat,Ohio,@,Ball State,MAC,,,,,,,,
9,Nov 6 2019,8:00 PM,Wed,Ohio,,Miami (OH),MAC,,,,,,,,
10,Nov 12 2019,12:00 PM,Tue,Ohio,,Western Michigan,MAC,,,,,,,,
11,Nov 19 2019,7:30 PM,Tue,Ohio,@,Bowling Green State,MAC,,,,,,,,
12,Nov 26 2019,7:00 PM,Tue,Ohio,@,Akron,MAC,,,,,,,,
1,Aug 29 2019,7:00 PM,Thu,Buffalo,,Robert Morris,Non-Major,W,38,10,1,0,W 1,,
2,Sep 7 2019,7:30 PM,Sat,Buffalo,@,(15) Penn State,Big Ten,L,13,45,1,1,L 1,,
3,Sep 14 2019,6:00 PM,Sat,Buffalo,@,Liberty,Ind,L,17,35,1,2,L 2,,
4,Sep 21 2019,3:30 PM,Sat,Buffalo,,Temple,American,W,38,22,2,2,W 1,,
5,Sep 28 2019,12:00 PM,Sat,Buffalo,@,Miami (OH),MAC,L,20,34,2,3,L 1,,
6,Oct 5 2019,3:30 PM,Sat,Buffalo,,Ohio,MAC,L,20,21,2,4,L 2,,
7,Oct 19 2019,3:30 PM,Sat,Buffalo,@,Akron,MAC,W,21,0,3,4,W 1,,
8,Oct 26 2019,3:30 PM,Sat,Buffalo,,Central Michigan,MAC,,,,,,,,
9,Nov 2 2019,12:00 PM,Sat,Buffalo,@,Eastern Michigan,MAC,,,,,,,,
10,Nov 14 2019,7:00 PM,Thu,Buffalo,@,Kent State,MAC,,,,,,,,
11,Nov 20 2019,7:30 PM,Wed,Buffalo,,Toledo,MAC,,,,,,,,
12,Nov 29 2019,12:00 PM,Fri,Buffalo,,Bowling Green State,MAC,,,,,,,,
1,Aug 29 2019,7:00 PM,Thu,Bowling Green State,,Morgan State,Non-Major,W,46,3,1,0,W 1,,
2,Sep 7 2019,12:00 PM,Sat,Bowling Green State,@,Kansas State,Big 12,L,0,52,1,1,L 1,,
3,Sep 14 2019,5:00 PM,Sat,Bowling Green State,,Louisiana Tech,CUSA,L,7,35,1,2,L 2,,
4,Sep 21 2019,3:30 PM,Sat,Bowling Green State,@,Kent State,MAC,L,20,62,1,3,L 3,,
5,Oct 5 2019,3:30 PM,Sat,Bowling Green State,@,(9) Notre Dame,Ind,L,0,52,1,4,L 4,,
6,Oct 12 2019,12:00 PM,Sat,Bowling Green State,,Toledo,MAC,W,20,7,2,4,W 1,,
7,Oct 19 2019,2:00 PM,Sat,Bowling Green State,,Central Michigan,MAC,L,20,38,2,5,L 1,,
8,Oct 26 2019,12:00 PM,Sat,Bowling Green State,@,Western Michigan,MAC,,,,,,,,
9,Nov 2 2019,2:00 PM,Sat,Bowling Green State,,Akron,MAC,,,,,,,,
10,Nov 13 2019,8:00 PM,Wed,Bowling Green State,@,Miami (OH),MAC,,,,,,,,
11,Nov 19 2019,7:30 PM,Tue,Bowling Green State,,Ohio,MAC,,,,,,,,
12,Nov 29 2019,12:00 PM,Fri,Bowling Green State,@,Buffalo,MAC,,,,,,,,
1,Aug 31 2019,12:00 PM,Sat,Akron,@,Illinois,Big Ten,L,3,42,0,1,L 1,,
2,Sep 7 2019,12:00 PM,Sat,Akron,,UAB,CUSA,L,20,31,0,2,L 2,,
3,Sep 14 2019,3:00 PM,Sat,Akron,@,Central Michigan,MAC,L,24,45,0,3,L 3,,
4,Sep 21 2019,3:00 PM,Sat,Akron,,Troy,Sun Belt,L,7,35,0,4,L 4,,
5,Sep 28 2019,3:30 PM,Sat,Akron,@,Massachusetts,Ind,L,29,37,0,5,L 5,,
6,Oct 12 2019,3:30 PM,Sat,Akron,,Kent State,MAC,L,3,26,0,6,L 6,,
7,Oct 19 2019,3:30 PM,Sat,Akron,,Buffalo,MAC,L,0,21,0,7,L 7,,
8,Oct 26 2019,3:30 PM,Sat,Akron,@,Northern Illinois,MAC,,,,,,,,
9,Nov 2 2019,2:00 PM,Sat,Akron,@,Bowling Green State,MAC,,,,,,,,
10,Nov 12 2019,12:00 PM,Tue,Akron,,Eastern Michigan,MAC,,,,,,,,
11,Nov 20 2019,7:30 PM,Wed,Akron,@,Miami (OH),MAC,,,,,,,,
12,Nov 26 2019,7:00 PM,Tue,Akron,,Ohio,MAC,,,,,,,,
1,Aug 31 2019,12:00 PM,Sat,Ball State,N,Indiana,Big Ten,L,24,34,0,1,L 1,,
2,Sep 7 2019,2:00 PM,Sat,Ball State,,Fordham,Non-Major,W,57,29,1,1,W 1,,
3,Sep 14 2019,2:00 PM,Sat,Ball State,,Florida Atlantic,CUSA,L,31,41,1,2,L 1,,
4,Sep 21 2019,7:00 PM,Sat,Ball State,@,North Carolina State,ACC,L,23,34,1,3,L 2,,
5,Oct 5 2019,3:30 PM,Sat,Ball State,@,Northern Illinois,MAC,W,27,20,2,3,W 1,,
6,Oct 12 2019,2:00 PM,Sat,Ball State,@,Eastern Michigan,MAC,W,29,23,3,3,W 2,,
7,Oct 19 2019,2:00 PM,Sat,Ball State,,Toledo,MAC,W,52,14,4,3,W 3,,
8,Oct 26 2019,2:00 PM,Sat,Ball State,,Ohio,MAC,,,,,,,,
9,Nov 5 2019,12:00 PM,Tue,Ball State,@,Western Michigan,MAC,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Ball State,,Central Michigan,MAC,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Ball State,@,Kent State,MAC,,,,,,,,
12,Nov 29 2019,12:00 PM,Fri,Ball State,,Miami (OH),MAC,,,,,,,,
1,Aug 29 2019,7:00 PM,Thu,Central Michigan,,Albany,Non-Major,W,38,21,1,0,W 1,,
2,Sep 7 2019,3:30 PM,Sat,Central Michigan,@,(17) Wisconsin,Big Ten,L,0,61,1,1,L 1,,
3,Sep 14 2019,3:00 PM,Sat,Central Michigan,,Akron,MAC,W,45,24,2,1,W 1,,
4,Sep 21 2019,4:00 PM,Sat,Central Michigan,@,Miami (FL),ACC,L,12,17,2,2,L 1,,
5,Sep 28 2019,12:00 PM,Sat,Central Michigan,@,Western Michigan,MAC,L,15,31,2,3,L 2,,
6,Oct 5 2019,3:00 PM,Sat,Central Michigan,,Eastern Michigan,MAC,W,42,16,3,3,W 1,,
7,Oct 12 2019,3:00 PM,Sat,Central Michigan,,New Mexico State,Ind,W,42,28,4,3,W 2,,
8,Oct 19 2019,2:00 PM,Sat,Central Michigan,@,Bowling Green State,MAC,W,38,20,5,3,W 3,,
9,Oct 26 2019,3:30 PM,Sat,Central Michigan,@,Buffalo,MAC,,,,,,,,
10,Nov 2 2019,12:00 PM,Sat,Central Michigan,,Northern Illinois,MAC,,,,,,,,
11,Nov 16 2019,12:00 PM,Sat,Central Michigan,@,Ball State,MAC,,,,,,,,
12,Nov 29 2019,12:00 PM,Fri,Central Michigan,,Toledo,MAC,,,,,,,,
1,Aug 31 2019,7:00 PM,Sat,Western Michigan,,Monmouth,Non-Major,W,48,13,1,0,W 1,,
